State,Population,Seats,TCB,TBC,CTB,CBT,BTC,BCT
California,39144818,55,1619600,8099720,3555240,8697519,5282935,11889800
Texas,27469114,38,1001553,8125776,880858,7471382,7110407,2879135
Florida,20271272,29,3901367,4467937,4494396,3751079,3060172,596319
New York,19795791,29,2299489,4726993,3680950,4132895,4833059,122402
Illinois,12859995,20,660876,3806654,2909177,1121527,1941398,2420359
Pennsylvania,12802503,20,4170985,3482893,3546787,210878,625303,765655
Ohio,11613423,18,4002264,318219,2232062,758132,3936733,366010
Georgia,10214860,16,1839368,1296127,2109856,1165085,1563889,2240532
North Carolina,10042802,15,147572,827513,1367847,2805111,2960630,1934127
Michigan,9922576,16,1353540,3409242,2676905,345475,597394,1540016
New Jersey,8958013,14,835300,2299312,1772111,2282897,398625,1369766
Virginia,8382993,13,606040,1275357,1095977,2408256,1145364,1851995
Washington,7170351,12,1010058,251591,603681,1445085,2015943,1843990
Arizona,6828065,11,334111,1986540,1631124,49408,1168612,1658267
Massachusetts,6794422,11,787335,1583890,745014,1634385,1387085,656711
Indiana,6619680,11,824953,1459429,57626,1395197,1405684,1476787
Tennessee,6600299,11,2304422,1541445,692557,1223671,44361,793839
Missouri,6083672,10,1572135,1401572,1083874,265541,697948,1062599
Maryland,6006401,10,1437451,767672,1669186,412936,482229,1236924
Wisconsin,5771337,10,107441,2351472,40062,411494,2799600,61266
Minnesota,5489594,10,1295094,1541528,53894,1051403,760185,787486
Colorado,5456574,9,504619,1084002,1512679,1273262,738979,343031
South Carolina,4896146,9,1206871,1401404,1229344,470395,417224,170904
Alabama,4858979,9,240505,1256056,1110708,866991,18926,1365789
Louisiana,4670724,8,523603,1310213,824288,266299,462314,1284003
Kentucky,4425092,8,488192,1183886,823487,1047838,179958,701728
Oregon,4028977,7,384997,528855,1111362,1009528,682112,312120
Oklahoma,3911338,7,718763,457656,444045,1118545,782799,389526
Connecticut,3590886,7,573226,479002,1180219,157379,309380,891676
Puerto Rico,3474182,1,1087255,700371,73140,391900,601397,620116
Iowa,3123899,6,1129178,370225,691358,500148,348305,84682
Utah,2995919,6,168791,166447,56356,526342,960931,1117049
Mississippi,2992333,6,271865,678933,535466,108012,697939,700116
Arkansas,2978204,6,192309,654124,740951,569832,577100,243885
Kansas,2911641,6,512844,146068,551990,610260,412376,678101
Nevada,2890845,6,559371,787013,253715,283869,329586,677288
New Mexico,2085109,5,101507,535871,119854,513146,473384,341344
Nebraska,1896190,5,503529,168431,453511,81470,352093,337153
West Virginia,1844128,5,132027,385579,532765,193448,114171,486135
Idaho,1654930,4,110190,381386,293890,300912,156040,412509
Hawaii,1431603,4,241703,289197,457630,104847,77600,260623
New Hampshire,1330608,4,288302,433457,148147,202611,71295,186794
Maine,1329328,4,57379,158286,182214,322283,277305,331859
Rhode Island,1056298,4,110094,391749,84698,404987,53336,11432
Montana,1032949,3,107119,192670,99994,197808,159138,276217
Delaware,945934,3,259770,55920,117782,312293,25140,175026
South Dakota,858469,3,88840,89831,78070,262419,23586,315719
North Dakota,756927,3,184965,157848,1660,97349,118140,196962
Alaska,738432,3,274935,201489,192092,5657,10079,54177
District of Columbia,672228,1,63332,120792,69006,144969,273116,1011
Vermont,626042,3,157291,131823,114352,159313,39842,23418
Wyoming,586107,3,93568,29305,105662,133027,95286,129256
