State,Population,Seats,TCB,TBC,CTB,CBT,BTC,BCT
California,39144818,55,2991195,5568267,9346707,6164892,9045406,6028347
Texas,27469114,38,1774373,6174280,5053567,6411844,3380241,4674805
Florida,20271272,29,1347073,5863992,2516194,4263143,2283221,3997645
New York,19795791,29,3058980,3931297,1362346,4396759,4697090,2349315
Illinois,12859995,20,834726,76707,3337545,1928103,3392888,3290022
Pennsylvania,12802503,20,3257004,2603178,2964475,3083082,516132,378629
Ohio,11613423,18,2250433,2248243,314378,1168891,3091481,2539993
Georgia,10214860,16,924556,2701760,2025960,2088591,1333494,1140494
North Carolina,10042802,15,3093819,1104645,673131,2978408,22702,2170095
Michigan,9922576,16,966453,2468042,1770804,1709373,2120087,887815
New Jersey,8958013,14,485057,1720453,1533096,2761015,1973820,484569
Virginia,8382993,13,372255,788958,1849924,1959943,2457882,954027
Washington,7170351,12,2079949,77463,2278476,1518466,585907,630088
Arizona,6828065,11,457793,1680898,1735437,1922162,742975,288798
Massachusetts,6794422,11,1780782,1067210,400072,1827437,1460017,258900
Indiana,6619680,11,1302954,756186,1880356,905180,350041,1424960
Tennessee,6600299,11,806624,1911536,1101688,867790,1372298,540360
Missouri,6083672,10,212282,47341,2376041,114688,1217921,2115396
Maryland,6006401,10,651077,1987468,991441,1324896,1011661,39855
Wisconsin,5771337,10,437998,137680,2525206,1289679,534850,845922
Minnesota,5489594,10,319411,1055358,510117,1882366,1038339,684001
Colorado,5456574,9,874914,1061119,983405,477092,1204252,855789
South Carolina,4896146,9,749862,691844,1289473,772113,146573,1246278
Alabama,4858979,9,1484983,1178873,786907,528042,287797,592374
Louisiana,4670724,8,945886,807421,703212,749594,15768,1448841
Kentucky,4425092,8,1039584,900976,478658,934832,746576,324463
Oregon,4028977,7,729835,799232,71334,825488,843146,759939
Oklahoma,3911338,7,993817,135068,1156814,851554,688980,85102
Connecticut,3590886,7,502149,788330,674800,171179,169520,1284904
Puerto Rico,3474182,1,248141,610872,718987,222591,763125,910463
Iowa,3123899,6,144148,716527,777673,492228,80762,912557
Utah,2995919,6,370572,44137,714713,422499,604824,839170
Mississippi,2992333,6,129457,325291,908649,496257,919792,212884
Arkansas,2978204,6,208103,399435,416203,261990,1073808,618662
Kansas,2911641,6,816711,934010,415214,184843,471992,88868
Nevada,2890845,6,597902,271458,770297,220723,5469,1024992
New Mexico,2085109,5,407160,411477,172108,321369,427722,345270
Nebraska,1896190,5,377329,444418,319291,383802,180403,190944
West Virginia,1844128,5,121255,462379,526945,18034,475035,240477
Idaho,1654930,4,197777,469175,332854,158208,1934,494980
Hawaii,1431603,4,143435,143319,282303,178432,302339,381771
New Hampshire,1330608,4,370211,250632,733,247140,261152,200736
Maine,1329328,4,104111,304192,332695,71819,280018,236491
Rhode Island,1056298,4,51601,293221,115224,208369,170025,217855
Montana,1032949,3,312966,309379,177166,37758,32826,162851
Delaware,945934,3,203364,149570,75430,160157,260152,97258
South Dakota,858469,3,210024,201161,140522,114185,169440,23134
North Dakota,756927,3,182677,94940,121228,24574,105849,227656
Alaska,738432,3,194160,168848,139099,214303,15690,6329
District of Columbia,672228,1,143728,52416,66239,130410,131300,148133
Vermont,626042,3,155229,8582,146184,80678,165530,69837
Wyoming,586107,3,96371,102546,148598,104200,74198,60191
