State,Population,Seats,TCB,TBC,CTB,CBT,BTC,BCT
California,39144818,55,4986741,5687252,8076337,9329718,956077,10108690
Texas,27469114,38,2397486,6079141,8073039,6127650,1199412,3592383
Florida,20271272,29,2807772,6203376,1379463,1846262,3779287,4255109
New York,19795791,29,5758298,6108101,1141933,1795527,2756183,2235746
Illinois,12859995,20,972198,3694946,1597515,375806,3732193,2487334
Pennsylvania,12802503,20,4384676,151636,3988317,1371920,440171,2465781
Ohio,11613423,18,1995806,2078655,1922844,2397191,944783,2274141
Georgia,10214860,16,1844298,195021,3039462,3581936,1204833,349308
North Carolina,10042802,15,187819,2906314,3460832,431831,493269,2562733
Michigan,9922576,16,643196,1840650,2794633,3034697,1320359,289038
New Jersey,8958013,14,1334206,338569,2673179,2472801,846289,1292966
Virginia,8382993,13,2026550,2208857,2225715,148960,1623918,148990
Washington,7170351,12,2214494,206655,1118237,2522647,42367,1065948
Arizona,6828065,11,810840,551733,1335387,1160626,1255642,1713834
Massachusetts,6794422,11,1442788,1289336,149872,1221903,1381309,1309212
Indiana,6619680,11,1178078,801479,305948,1825404,1042145,1466623
Tennessee,6600299,11,120206,1535371,2012540,795282,2105824,31073
Missouri,6083672,10,1073571,1296530,1643967,903301,359667,806634
Maryland,6006401,10,1519991,1984259,227643,744678,30651,1499176
Wisconsin,5771337,10,10401,1059573,1413052,527485,1444362,1316461
Minnesota,5489594,10,1290801,1312365,991810,40802,1335512,518301
Colorado,5456574,9,1484607,125115,1195577,441870,898948,1310454
South Carolina,4896146,9,675201,842017,1752344,106041,1366643,153897
Alabama,4858979,9,932956,729330,1354907,125676,631793,1084314
Louisiana,4670724,8,1734614,1616938,59554,400338,182584,676693
Kentucky,4425092,8,1496847,736224,905258,57380,856274,373105
Oregon,4028977,7,246981,754611,1027297,453630,730558,815897
Oklahoma,3911338,7,807118,1200849,456130,252864,44188,1150186
Connecticut,3590886,7,831971,57609,1230266,562419,884512,24106
Puerto Rico,3474182,1,701833,251308,354612,826276,448026,892124
Iowa,3123899,6,620445,154815,616024,861627,37285,833700
Utah,2995919,6,689779,696258,666053,477754,182160,283911
Mississippi,2992333,6,637879,420613,221370,591089,324102,797277
Arkansas,2978204,6,422638,1651417,240564,407874,199734,55974
Kansas,2911641,6,611411,410128,236804,277592,680375,695327
Nevada,2890845,6,567471,795597,107906,590846,433492,395531
New Mexico,2085109,5,150222,417648,121844,92722,662487,640183
Nebraska,1896190,5,94727,447779,436625,604701,71479,240876
West Virginia,1844128,5,192043,113507,430402,569809,512117,26248
Idaho,1654930,4,283839,100052,275563,176519,417816,401139
Hawaii,1431603,4,315613,331430,328315,164348,285405,6489
New Hampshire,1330608,4,21743,101772,230308,605050,323668,48065
Maine,1329328,4,70172,90976,397371,79406,332802,358598
Rhode Island,1056298,4,94800,184856,70250,224345,450552,31492
Montana,1032949,3,448294,16688,245147,74706,95790,152321
Delaware,945934,3,78095,118122,99284,167736,333151,149543
South Dakota,858469,3,212020,21253,88510,142781,247606,146297
North Dakota,756927,3,151477,178013,45654,157981,156246,67552
Alaska,738432,3,242542,211770,53894,557,177094,52572
District of Columbia,672228,1,24510,192232,49019,79603,307513,19348
Vermont,626042,3,203830,35146,33400,123407,224102,6153
Wyoming,586107,3,120900,146036,11215,82243,57258,168453
