State,Population,Seats,TCB,TBC,CTB,CBT,BTC,BCT
California,39144818,55,11864627,5582768,2485952,11789092,6791131,631245
Texas,27469114,38,2516419,4671826,3857068,3713274,4220761,8489762
Florida,20271272,29,3706941,3017641,729962,4836763,3150619,4829342
New York,19795791,29,3966680,2456776,4021384,4405743,1187564,3757641
Illinois,12859995,20,1961892,2532935,2112030,2625345,1998378,1629412
Pennsylvania,12802503,20,2574212,2577129,2014627,1439484,1788235,2408814
Ohio,11613423,18,58442,3024412,3235905,1793132,306590,3194940
Georgia,10214860,16,2340323,1478409,2402990,1915448,461577,1616112
North Carolina,10042802,15,1908349,2416342,2545386,1426768,1519347,226606
Michigan,9922576,16,802446,3158188,1411414,1216280,1817031,1517215
New Jersey,8958013,14,2383704,1108401,2990227,60377,1945480,469821
Virginia,8382993,13,2036773,1845968,517736,1470206,1304100,1208207
Washington,7170351,12,1306135,1321649,990570,2398622,387965,765406
Arizona,6828065,11,299188,1476990,550838,619601,2842348,1039099
Massachusetts,6794422,11,2022681,2170509,1294808,560860,308747,436813
Indiana,6619680,11,837987,1359912,2180187,536901,825721,878970
Tennessee,6600299,11,412731,1026295,511238,703593,3337163,609276
Missouri,6083672,10,559232,425482,1115658,1016111,1227990,1739196
Maryland,6006401,10,850891,1405273,323561,1190048,1525256,711369
Wisconsin,5771337,10,1226203,144082,892440,340489,1068708,2099412
Minnesota,5489594,10,1141718,163273,379143,2201446,411018,1192993
Colorado,5456574,9,904930,1209228,933275,1228770,667094,513275
South Carolina,4896146,9,946072,205251,1225881,280385,891345,1347210
Alabama,4858979,9,180176,1784904,617396,2656,785714,1488130
Louisiana,4670724,8,447672,754038,386139,1037148,1106979,938746
Kentucky,4425092,8,326447,391657,437044,57543,1184800,2027599
Oregon,4028977,7,187782,711457,564851,936164,684444,944276
Oklahoma,3911338,7,504671,315461,372667,1069963,1101916,546657
Connecticut,3590886,7,363155,837792,614366,736835,716896,321840
Puerto Rico,3474182,1,696822,680368,363446,768930,803540,161073
Iowa,3123899,6,378061,909127,623517,67181,227266,918744
Utah,2995919,6,331032,453841,721971,352905,348713,787455
Mississippi,2992333,6,610868,406852,533625,580120,223425,637441
Arkansas,2978204,6,144974,705924,494205,704571,328335,600191
Kansas,2911641,6,548640,374950,586908,205397,771720,424024
Nevada,2890845,6,94216,1107006,316353,126163,782173,464930
New Mexico,2085109,5,117273,662172,545975,439827,302379,17481
Nebraska,1896190,5,221083,744372,65087,401501,459509,4636
West Virginia,1844128,5,467292,272410,305815,322515,225114,250979
Idaho,1654930,4,107072,622016,100454,170572,71392,583421
Hawaii,1431603,4,262811,476411,471675,82167,67754,70781
New Hampshire,1330608,4,201753,16246,390158,185364,420844,116241
Maine,1329328,4,297292,60880,245539,122023,312609,290982
Rhode Island,1056298,4,42012,228534,195950,190986,175437,223376
Montana,1032949,3,175999,302860,159112,254478,89402,51095
Delaware,945934,3,251470,39211,248243,178122,168282,60603
South Dakota,858469,3,222033,78665,42857,232864,83845,198202
North Dakota,756927,3,85249,205105,35699,215156,108073,107642
Alaska,738432,3,142120,51853,172543,93304,117274,161335
District of Columbia,672228,1,18995,165128,130727,201235,148443,7697
Vermont,626042,3,143178,87271,91689,82007,125771,96122
Wyoming,586107,3,72003,213588,34456,104507,62137,99413
