State,Population,Seats,TCB,TBC,CTB,CBT,BTC,BCT
California,39144818,55,4085403,4067090,10005047,9520820,5947372,5519083
Texas,27469114,38,3690541,2510105,3281948,7371610,7413169,3201738
Florida,20271272,29,895050,657742,8185807,6669211,251493,3611967
New York,19795791,29,2745441,2639314,3834650,5053480,1835358,3687545
Illinois,12859995,20,3371123,1100841,340909,2985136,2538377,2523606
Pennsylvania,12802503,20,3577712,3979632,686691,2130697,2024637,403131
Ohio,11613423,18,2157762,2382001,4291527,102586,2027737,651808
Georgia,10214860,16,2909078,162389,973270,2295843,979966,2894311
North Carolina,10042802,15,2783938,769574,2196396,2746667,4328,1541896
Michigan,9922576,16,278440,1110227,1929822,2671813,1608438,2323834
New Jersey,8958013,14,1130506,1170097,1044424,2148311,1626203,1838469
Virginia,8382993,13,1393116,371380,524606,1785200,760585,3548103
Washington,7170351,12,2778213,1047025,341473,1007949,1980286,15403
Arizona,6828065,11,1953129,1034473,1117040,478893,969036,1275491
Massachusetts,6794422,11,54465,1892371,667159,481698,2469536,1229191
Indiana,6619680,11,81603,1708751,1631428,917850,1688513,591533
Tennessee,6600299,11,1401083,1000721,522742,1546199,1106087,1023464
Missouri,6083672,10,1820860,1255260,1920049,94822,286776,705902
Maryland,6006401,10,630602,1180104,1321191,1329289,709636,835575
Wisconsin,5771337,10,1733691,971273,406755,634306,914269,1111039
Minnesota,5489594,10,406037,2006608,1958102,356385,705311,57149
Colorado,5456574,9,193431,1690993,2003511,490201,711771,366664
South Carolina,4896146,9,1052265,449876,1006675,873123,965522,548681
Alabama,4858979,9,251256,699810,378637,1102107,937829,1489339
Louisiana,4670724,8,579379,357601,176552,813512,1253116,1490562
Kentucky,4425092,8,1488351,1473645,348319,105938,1001141,7695
Oregon,4028977,7,1070793,597102,1034854,90962,983639,251624
Oklahoma,3911338,7,354120,894492,865133,698624,376232,722735
Connecticut,3590886,7,334122,762141,275088,733783,703445,782304
Puerto Rico,3474182,1,673174,501781,704057,739443,223102,632620
Iowa,3123899,6,818688,519749,527759,276614,681815,299271
Utah,2995919,6,564321,389625,728319,564425,515947,233281
Mississippi,2992333,6,560481,383170,589289,895148,498852,65390
Arkansas,2978204,6,493308,277674,208761,203275,367455,1427729
Kansas,2911641,6,741888,641681,480962,188463,319732,538913
Nevada,2890845,6,372621,632123,622710,322840,778948,161599
New Mexico,2085109,5,393540,320217,268715,92189,428654,581792
Nebraska,1896190,5,508224,22104,526707,74890,538026,226235
West Virginia,1844128,5,294862,328565,240040,321334,472675,186650
Idaho,1654930,4,341632,322621,447238,2976,418549,121910
Hawaii,1431603,4,317265,259469,18764,152908,425213,257981
New Hampshire,1330608,4,306536,351501,118533,271920,246828,35287
Maine,1329328,4,371222,112941,135124,209740,388049,112249
Rhode Island,1056298,4,22235,296239,2524,55461,338291,341545
Montana,1032949,3,248668,160088,66291,174075,290736,93088
Delaware,945934,3,148705,188263,52821,119787,126526,309829
South Dakota,858469,3,37223,50883,39762,435488,172930,122181
North Dakota,756927,3,59523,61881,230472,245089,41065,118895
Alaska,738432,3,217397,23355,181310,60944,32386,223037
District of Columbia,672228,1,115980,70484,139886,126849,159476,59549
Vermont,626042,3,62977,112852,104893,163831,151015,30470
Wyoming,586107,3,10902,90871,204118,38451,32972,208789
