State,Population,Seats,TCB,TBC,CTB,CBT,BTC,BCT
California,39144818,55,2310812,6287308,910042,13477047,8864067,7295540
Texas,27469114,38,4327746,5016210,5397829,4551562,2361843,5813922
Florida,20271272,29,3360058,252161,2286454,6367621,1760599,6244375
New York,19795791,29,4132857,420440,680776,6770823,4618419,3172473
Illinois,12859995,20,889937,3322392,2483146,482356,2646044,3036119
Pennsylvania,12802503,20,1872211,3722481,3881496,3064081,11357,250873
Ohio,11613423,18,573398,2495490,739028,2006941,2842292,2956270
Georgia,10214860,16,4254017,520923,909074,1706414,825140,1999289
North Carolina,10042802,15,598210,930368,3361509,1725223,995993,2431496
Michigan,9922576,16,1656312,690953,2261992,2070469,2113343,1129504
New Jersey,8958013,14,412852,1202856,1994,2099613,3013825,2226870
Virginia,8382993,13,1420101,1490980,984712,2528048,1542633,416515
Washington,7170351,12,40199,1926489,652164,1362619,513533,2675343
Arizona,6828065,11,1940797,587514,1331986,929453,634014,1404296
Massachusetts,6794422,11,1843852,944994,324707,90785,2220078,1370004
Indiana,6619680,11,1456237,1006007,131443,1012043,1179806,1834142
Tennessee,6600299,11,1456919,1655175,1072500,1507745,5072,902884
Missouri,6083672,10,1087027,1622411,1485278,603462,522664,762826
Maryland,6006401,10,1340013,795669,165056,321650,2104913,1279097
Wisconsin,5771337,10,1616309,1475413,619390,746595,45902,1267725
Minnesota,5489594,10,921151,950212,659215,1332535,227642,1398836
Colorado,5456574,9,437560,1132767,283676,230347,2117421,1254800
South Carolina,4896146,9,546599,866043,765344,1239730,1212805,265622
Alabama,4858979,9,1065453,385402,777321,806486,673697,1150618
Louisiana,4670724,8,513431,312685,777105,1514933,425908,1126659
Kentucky,4425092,8,553019,1059973,791951,73261,995955,950930
Oregon,4028977,7,1104927,29489,781165,1292684,217923,602786
Oklahoma,3911338,7,523308,163474,85808,687223,1658180,793343
Connecticut,3590886,7,325221,363109,689345,401795,925774,885638
Puerto Rico,3474182,1,300436,92354,577822,1169211,257306,1077049
Iowa,3123899,6,360377,648321,661344,421135,603511,429208
Utah,2995919,6,63504,1113527,463547,490793,823486,41058
Mississippi,2992333,6,450212,389043,430058,682345,521356,519317
Arkansas,2978204,6,1024392,801450,52476,97524,522500,479859
Kansas,2911641,6,771236,32412,784340,242286,697467,383896
Nevada,2890845,6,191982,662051,921094,975945,22997,116772
New Mexico,2085109,5,471840,530373,155753,1081,367235,558824
Nebraska,1896190,5,252592,79468,725306,82828,45348,710644
West Virginia,1844128,5,75062,243089,292543,505558,215781,512092
Idaho,1654930,4,149385,449784,45560,536682,431801,41715
Hawaii,1431603,4,325493,166185,139873,184212,297987,317850
New Hampshire,1330608,4,287199,60698,362253,162018,263858,194578
Maine,1329328,4,171021,118395,209736,203572,203892,422708
Rhode Island,1056298,4,161375,95648,347827,49495,272864,129086
Montana,1032949,3,204285,137671,199807,131653,166743,192787
Delaware,945934,3,60770,166108,245768,241004,119694,112588
South Dakota,858469,3,97714,186290,111335,88909,159366,214851
North Dakota,756927,3,89192,266237,47126,78499,100744,175126
Alaska,738432,3,38650,245271,192095,19590,8507,234316
District of Columbia,672228,1,129557,110226,57965,32056,175112,167309
Vermont,626042,3,49276,184182,167021,6218,131603,87738
Wyoming,586107,3,11734,54162,81441,217620,217260,3887
