State,Population,Seats,TCB,TBC,CTB,CBT,BTC,BCT
California,39144818,55,2118002,3776416,2224970,21863111,1032698,8129617
Texas,27469114,38,2900122,8110129,3856494,6575331,938687,5088347
Florida,20271272,29,4303178,1050838,588557,4910029,5882318,3536350
New York,19795791,29,5421241,1869169,4780848,4510416,1716405,1497708
Illinois,12859995,20,1729038,2780149,1516760,2799456,1735891,2298697
Pennsylvania,12802503,20,3145201,578782,609566,1116618,3658949,3693383
Ohio,11613423,18,374176,2486295,1402917,2729173,2544999,2075861
Georgia,10214860,16,3040933,1687604,175329,147028,2983310,2180653
North Carolina,10042802,15,2185971,405576,2112098,2473087,707551,2158517
Michigan,9922576,16,1940892,1167400,2380013,1855973,31807,2546487
New Jersey,8958013,14,840120,949900,842926,2137368,1869528,2318169
Virginia,8382993,13,1569352,1981275,1246711,146466,1727446,1711740
Washington,7170351,12,433034,256200,45302,1346034,2873878,2215901
Arizona,6828065,11,342215,2152308,1252099,790661,1694188,596591
Massachusetts,6794422,11,722664,1419441,1874994,432213,1738249,606858
Indiana,6619680,11,1473290,212192,1865444,399088,2263513,406150
Tennessee,6600299,11,1347066,400190,755543,1402508,776722,1918267
Missouri,6083672,10,848428,1200493,1179914,1600281,137388,1117164
Maryland,6006401,10,795486,802024,450936,1664684,637108,1656160
Wisconsin,5771337,10,957976,1524735,1198516,931549,146319,1012238
Minnesota,5489594,10,970377,765566,1370915,1319336,317809,745589
Colorado,5456574,9,837715,626231,1227759,748259,1052624,963983
South Carolina,4896146,9,1049682,201832,667198,992879,1438841,545710
Alabama,4858979,9,249170,1385809,601127,1103340,477761,1041769
Louisiana,4670724,8,103191,1131080,1200139,511395,1613627,111288
Kentucky,4425092,8,1565816,611885,56876,890721,1046177,253614
Oregon,4028977,7,242554,1434425,556707,1135401,17011,642876
Oklahoma,3911338,7,577440,1011011,823283,505327,614381,379892
Connecticut,3590886,7,508839,558194,1276917,2724,611167,633041
Puerto Rico,3474182,1,923151,585309,128485,106407,1063569,667258
Iowa,3123899,6,30742,180790,527436,1261296,201089,922543
Utah,2995919,6,705969,240633,381374,583997,497169,586774
Mississippi,2992333,6,782818,455062,46266,274408,1347469,86307
Arkansas,2978204,6,697667,192819,464049,499104,422764,701799
Kansas,2911641,6,200645,862090,830568,73158,85017,860160
Nevada,2890845,6,293036,570476,1058848,592539,294479,81464
New Mexico,2085109,5,453816,296620,220427,168960,457756,487527
Nebraska,1896190,5,351700,106135,125181,524823,521813,266535
West Virginia,1844128,5,314818,316348,387922,374031,247399,203607
Idaho,1654930,4,44283,454266,200826,554354,187519,213679
Hawaii,1431603,4,115688,170580,193660,399240,70305,482127
New Hampshire,1330608,4,198944,59125,341287,320869,346650,63731
Maine,1329328,4,83750,309156,208931,319761,191493,216233
Rhode Island,1056298,4,75038,346042,198530,234598,167563,34524
Montana,1032949,3,249880,19238,113345,299477,291639,59366
Delaware,945934,3,279206,166800,80014,143071,232188,44652
South Dakota,858469,3,109108,213647,169244,304109,25036,37321
North Dakota,756927,3,50309,75059,71574,205315,177530,177137
Alaska,738432,3,9666,142341,46608,147972,150914,240928
District of Columbia,672228,1,21500,53096,164904,182424,65916,184386
Vermont,626042,3,171401,24585,74444,156225,74506,124877
Wyoming,586107,3,49427,152196,2301,14210,176633,191337
