State,Population,Seats,TCB,TBC,CTB,CBT,BTC,BCT
California,39144818,55,6386614,7684320,6103569,14699269,2139554,2131489
Texas,27469114,38,7261796,5013025,2527123,4547628,7803307,316232
Florida,20271272,29,646979,2940021,4044313,3387835,6961715,2290406
New York,19795791,29,6400171,3083226,750139,1304822,2313488,5943941
Illinois,12859995,20,1782440,2439664,2410482,2151075,1882054,2194276
Pennsylvania,12802503,20,607527,1776127,2283781,1761889,3825188,2547989
Ohio,11613423,18,450900,4062937,589070,2513764,422824,3573926
Georgia,10214860,16,1622222,2492251,1629233,726197,2038591,1706363
North Carolina,10042802,15,833944,2208532,2595553,1625876,2637661,141233
Michigan,9922576,16,1158437,1270201,500668,1673095,2098721,3221452
New Jersey,8958013,14,2490978,571675,1756745,65087,2749676,1323849
Virginia,8382993,13,805267,1207867,1709796,2747045,1556874,356140
Washington,7170351,12,1981072,1121975,2223653,58100,249542,1536005
Arizona,6828065,11,1598473,3823141,460576,447787,142549,355537
Massachusetts,6794422,11,1944795,665134,774814,1499501,228522,1681652
Indiana,6619680,11,1882965,1287236,315974,1896115,48947,1188440
Tennessee,6600299,11,1733624,1930573,698496,151577,1211304,874722
Missouri,6083672,10,2132541,414311,1575942,643618,829094,488163
Maryland,6006401,10,1315377,984942,785000,240132,1453651,1227296
Wisconsin,5771337,10,99704,1435425,711948,1602104,1423229,498924
Minnesota,5489594,10,31151,352253,1698955,1611954,1241660,553618
Colorado,5456574,9,202832,239431,1473889,1344270,1783072,413076
South Carolina,4896146,9,817548,896429,986603,610751,733724,851088
Alabama,4858979,9,495854,636535,1579482,226292,177850,1742963
Louisiana,4670724,8,610783,1036306,654597,728041,528453,1112541
Kentucky,4425092,8,84226,929966,1053966,1227736,933395,195800
Oregon,4028977,7,1032240,650109,308194,136237,473828,1428367
Oklahoma,3911338,7,625680,908826,616643,508866,486664,764656
Connecticut,3590886,7,385118,441907,1511014,429387,476419,347037
Puerto Rico,3474182,1,99353,638199,893214,367700,880914,594799
Iowa,3123899,6,1052895,127185,43654,902396,390563,607203
Utah,2995919,6,43198,732508,562937,456895,619511,580868
Mississippi,2992333,6,1249906,407849,646500,349741,295065,43268
Arkansas,2978204,6,369286,592831,82304,772437,498113,663231
Kansas,2911641,6,123854,696507,515118,462653,344244,769263
Nevada,2890845,6,408104,535909,531013,498626,496936,420255
New Mexico,2085109,5,378810,26,546278,430385,341574,388033
Nebraska,1896190,5,220774,455647,302262,371533,410665,135307
West Virginia,1844128,5,218803,184631,152360,304503,389606,594222
Idaho,1654930,4,154995,110673,388462,222299,441588,336909
Hawaii,1431603,4,335712,162057,244318,46482,236799,406232
New Hampshire,1330608,4,187170,326897,188209,394110,107964,126255
Maine,1329328,4,191209,106631,290305,258561,453845,28774
Rhode Island,1056298,4,9537,153261,226874,220064,230953,215606
Montana,1032949,3,127337,248985,315411,268632,63953,8629
Delaware,945934,3,128560,233571,71616,163627,202908,145649
South Dakota,858469,3,194366,133754,158428,47461,288481,35976
North Dakota,756927,3,82853,96079,25982,242157,103606,206248
Alaska,738432,3,154686,12121,20993,259459,52970,238199
District of Columbia,672228,1,13084,146448,313350,54903,2836,141603
Vermont,626042,3,101381,142484,59539,50568,147859,124208
Wyoming,586107,3,108197,139372,111293,97908,1039,128297
